Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
00452016FTEs,2016,0045,Brookfield,FTEs,325.5,325.5
00462016FTEIn,2016,0046,Brookline,FTEIn,"7,640.1","7,640.1"
00462016FTEOut,2016,0046,Brookline,FTEOut,69.9,69.9
00462016FTEs,2016,0046,Brookline,FTEs,"7,710.0","7,710.0"
00482016FTEIn,2016,0048,Burlington,FTEIn,"3,475.9","3,475.9"
00482016FTEOut,2016,0048,Burlington,FTEOut,102.4,102.4
00482016FTEs,2016,0048,Burlington,FTEs,"3,578.3","3,578.3"
00492016FTEIn,2016,0049,Cambridge,FTEIn,"6,521.4","6,521.4"
00492016FTEOut,2016,0049,Cambridge,FTEOut,655.7,655.7
00492016FTEs,2016,0049,Cambridge,FTEs,"7,177.1","7,177.1"
00502016FTEIn,2016,0050,Canton,FTEIn,"3,280.1","3,280.1"
00502016FTEOut,2016,0050,Canton,FTEOut,72.7,72.7
00502016FTEs,2016,0050,Canton,FTEs,"3,352.8","3,352.8"
00512016FTEIn,2016,0051,Carlisle,FTEIn,606.5,606.5
00512016FTEOut,2016,0051,Carlisle,FTEOut,11.0,11.0
00512016FTEs,2016,0051,Carlisle,FTEs,617.5,617.5
00522016FTEIn,2016,0052,Carver,FTEIn,"1,626.9","1,626.9"
00522016FTEOut,2016,0052,Carver,FTEOut,58.4,58.4
00522016FTEs,2016,0052,Carver,FTEs,"1,685.3","1,685.3"
00562016FTEIn,2016,0056,Chelmsford,FTEIn,"4,933.9","4,933.9"
00562016FTEOut,2016,0056,Chelmsford,FTEOut,275.0,275.0
00562016FTEs,2016,0056,Chelmsford,FTEs,"5,208.9","5,208.9"
00572016FTEIn,2016,0057,Chelsea,FTEIn,"6,362.5","6,362.5"
00572016FTEOut,2016,0057,Chelsea,FTEOut,885.5,885.5
00572016FTEs,2016,0057,Chelsea,FTEs,"7,248.0","7,248.0"
00612016FTEIn,2016,0061,Chicopee,FTEIn,"7,578.6","7,578.6"
00612016FTEOut,2016,0061,Chicopee,FTEOut,364.1,364.1
00612016FTEs,2016,0061,Chicopee,FTEs,"7,942.7","7,942.7"
