Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
08302016FTEs,2016,0830,Minuteman Regional Vocational Technical,FTEs,655.4,655.4
08322016FTEIn,2016,0832,Montachusett Regional Vocational Technical,FTEIn,"1,431.6","1,431.6"
08322016FTEOut,2016,0832,Montachusett Regional Vocational Technical,FTEOut,65.1,65.1
08322016FTEs,2016,0832,Montachusett Regional Vocational Technical,FTEs,"1,496.7","1,496.7"
08512016FTEIn,2016,0851,Northern Berkshire Regional Vocational Technical,FTEIn,492.4,492.4
08512016FTEOut,2016,0851,Northern Berkshire Regional Vocational Technical,FTEOut,0.0,0.0
08512016FTEs,2016,0851,Northern Berkshire Regional Vocational Technical,FTEs,492.4,492.4
08522016FTEIn,2016,0852,Nashoba Valley Regional Vocational Technical,FTEIn,724.8,724.8
08522016FTEOut,2016,0852,Nashoba Valley Regional Vocational Technical,FTEOut,less than 6,less than 6
08522016FTEs,2016,0852,Nashoba Valley Regional Vocational Technical,FTEs,726.9,726.9
08532016FTEIn,2016,0853,Northeast Metropolitan Regional Vocational Technical,FTEIn,"1,231.2","1,231.2"
08532016FTEOut,2016,0853,Northeast Metropolitan Regional Vocational Technical,FTEOut,less than 6,less than 6
08532016FTEs,2016,0853,Northeast Metropolitan Regional Vocational Technical,FTEs,"1,233.2","1,233.2"
08552016FTEIn,2016,0855,Old Colony Regional Vocational Technical,FTEIn,551.1,551.1
08552016FTEOut,2016,0855,Old Colony Regional Vocational Technical,FTEOut,less than 6,less than 6
08552016FTEs,2016,0855,Old Colony Regional Vocational Technical,FTEs,551.9,551.9
08602016FTEIn,2016,0860,Pathfinder Regional Vocational Technical,FTEIn,610.0,610.0
08602016FTEOut,2016,0860,Pathfinder Regional Vocational Technical,FTEOut,11.0,11.0
08602016FTEs,2016,0860,Pathfinder Regional Vocational Technical,FTEs,621.0,621.0
08712016FTEIn,2016,0871,Shawsheen Valley Regional Vocational Technical,FTEIn,"1,339.3","1,339.3"
08712016FTEOut,2016,0871,Shawsheen Valley Regional Vocational Technical,FTEOut,18.2,18.2
08712016FTEs,2016,0871,Shawsheen Valley Regional Vocational Technical,FTEs,"1,357.5","1,357.5"
08722016FTEIn,2016,0872,Southeastern Regional Vocational Technical,FTEIn,"1,459.9","1,459.9"
08722016FTEOut,2016,0872,Southeastern Regional Vocational Technical,FTEOut,less than 6,less than 6
08722016FTEs,2016,0872,Southeastern Regional Vocational Technical,FTEs,"1,463.9","1,463.9"
08732016FTEIn,2016,0873,South Shore Regional Vocational Technical,FTEIn,617.8,617.8
08732016FTEOut,2016,0873,South Shore Regional Vocational Technical,FTEOut,less than 6,less than 6
08732016FTEs,2016,0873,South Shore Regional Vocational Technical,FTEs,618.8,618.8
08762016FTEIn,2016,0876,Southern Worcester County Regional Vocational Technical,FTEIn,"1,077.8","1,077.8"
08762016FTEOut,2016,0876,Southern Worcester County Regional Vocational Technical,FTEOut,31.5,31.5
08762016FTEs,2016,0876,Southern Worcester County Regional Vocational Technical,FTEs,"1,109.3","1,109.3"
08782016FTEIn,2016,0878,Tri County Regional Vocational Technical,FTEIn,"1,050.8","1,050.8"
08782016FTEOut,2016,0878,Tri County Regional Vocational Technical,FTEOut,less than 6,less than 6
08782016FTEs,2016,0878,Tri County Regional Vocational Technical,FTEs,"1,051.5","1,051.5"
08792016FTEIn,2016,0879,Upper Cape Cod Regional Vocational Technical,FTEIn,784.1,784.1
08792016FTEOut,2016,0879,Upper Cape Cod Regional Vocational Technical,FTEOut,less than 6,less than 6
08792016FTEs,2016,0879,Upper Cape Cod Regional Vocational Technical,FTEs,785.4,785.4
08852016FTEIn,2016,0885,Whittier Regional Vocational Technical,FTEIn,"1,299.6","1,299.6"
08852016FTEOut,2016,0885,Whittier Regional Vocational Technical,FTEOut,less than 6,less than 6
08852016FTEs,2016,0885,Whittier Regional Vocational Technical,FTEs,"1,304.4","1,304.4"
09102016FTEIn,2016,0910,Bristol County Agricultural,FTEIn,461.2,461.2
09102016FTEOut,2016,0910,Bristol County Agricultural,FTEOut,0.0,0.0
09102016FTEs,2016,0910,Bristol County Agricultural,FTEs,461.2,461.2
09152016FTEIn,2016,0915,Norfolk County Agricultural,FTEIn,512.6,512.6
09152016FTEOut,2016,0915,Norfolk County Agricultural,FTEOut,0.0,0.0
09152016FTEs,2016,0915,Norfolk County Agricultural,FTEs,512.6,512.6
00002017FTEIn,2017,0000,State,FTEIn,"911,248.2","911,248.2"
00002017FTEOut,2017,0000,State,FTEOut,"75,667.9","75,667.9"
00002017FTEs,2017,0000,State,FTEs,"986,916.1","986,916.1"
00012017FTEIn,2017,0001,Abington,FTEIn,"1,926.2","1,926.2"
00012017FTEOut,2017,0001,Abington,FTEOut,114.3,114.3
00012017FTEs,2017,0001,Abington,FTEs,"2,040.5","2,040.5"
00032017FTEIn,2017,0003,Acushnet,FTEIn,973.1,973.1
00032017FTEOut,2017,0003,Acushnet,FTEOut,306.8,306.8
00032017FTEs,2017,0003,Acushnet,FTEs,"1,279.9","1,279.9"
00052017FTEIn,2017,0005,Agawam,FTEIn,"3,908.8","3,908.8"
00052017FTEOut,2017,0005,Agawam,FTEOut,120.1,120.1
00052017FTEs,2017,0005,Agawam,FTEs,"4,028.9","4,028.9"
00072017FTEIn,2017,0007,Amesbury,FTEIn,"2,150.5","2,150.5"
00072017FTEOut,2017,0007,Amesbury,FTEOut,148.2,148.2
00072017FTEs,2017,0007,Amesbury,FTEs,"2,298.7","2,298.7"
00082017FTEIn,2017,0008,Amherst,FTEIn,"1,155.9","1,155.9"
00082017FTEOut,2017,0008,Amherst,FTEOut,109.6,109.6
00082017FTEs,2017,0008,Amherst,FTEs,"1,265.5","1,265.5"
00092017FTEIn,2017,0009,Andover,FTEIn,"6,050.4","6,050.4"
00092017FTEOut,2017,0009,Andover,FTEOut,123.4,123.4
00092017FTEs,2017,0009,Andover,FTEs,"6,173.8","6,173.8"
00102017FTEIn,2017,0010,Arlington,FTEIn,"5,537.8","5,537.8"
00102017FTEOut,2017,0010,Arlington,FTEOut,157.0,157.0
00102017FTEs,2017,0010,Arlington,FTEs,"5,694.8","5,694.8"
00142017FTEIn,2017,0014,Ashland,FTEIn,"2,709.4","2,709.4"
00142017FTEOut,2017,0014,Ashland,FTEOut,108.1,108.1
00142017FTEs,2017,0014,Ashland,FTEs,"2,817.5","2,817.5"
00162017FTEIn,2017,0016,Attleboro,FTEIn,"5,816.8","5,816.8"
00162017FTEOut,2017,0016,Attleboro,FTEOut,438.6,438.6
00162017FTEs,2017,0016,Attleboro,FTEs,"6,255.4","6,255.4"
00172017FTEIn,2017,0017,Auburn,FTEIn,"2,506.4","2,506.4"
00172017FTEOut,2017,0017,Auburn,FTEOut,56.4,56.4
00172017FTEs,2017,0017,Auburn,FTEs,"2,562.8","2,562.8"
00182017FTEIn,2017,0018,Avon,FTEIn,720.1,720.1
00182017FTEOut,2017,0018,Avon,FTEOut,18.4,18.4
00182017FTEs,2017,0018,Avon,FTEs,738.5,738.5
00202017FTEIn,2017,0020,Barnstable,FTEIn,"4,892.5","4,892.5"
00202017FTEOut,2017,0020,Barnstable,FTEOut,734.1,734.1
00202017FTEs,2017,0020,Barnstable,FTEs,"5,626.6","5,626.6"
00232017FTEIn,2017,0023,Bedford,FTEIn,"2,616.5","2,616.5"
00232017FTEOut,2017,0023,Bedford,FTEOut,66.7,66.7
00232017FTEs,2017,0023,Bedford,FTEs,"2,683.2","2,683.2"
00242017FTEIn,2017,0024,Belchertown,FTEIn,"2,334.2","2,334.2"
00242017FTEOut,2017,0024,Belchertown,FTEOut,175.2,175.2
00242017FTEs,2017,0024,Belchertown,FTEs,"2,509.4","2,509.4"
00252017FTEIn,2017,0025,Bellingham,FTEIn,"2,264.8","2,264.8"
00252017FTEOut,2017,0025,Bellingham,FTEOut,224.7,224.7
00252017FTEs,2017,0025,Bellingham,FTEs,"2,489.5","2,489.5"
00262017FTEIn,2017,0026,Belmont,FTEIn,"4,444.3","4,444.3"
00262017FTEOut,2017,0026,Belmont,FTEOut,106.2,106.2
00262017FTEs,2017,0026,Belmont,FTEs,"4,550.5","4,550.5"
00272017FTEIn,2017,0027,Berkley,FTEIn,932.9,932.9
00272017FTEOut,2017,0027,Berkley,FTEOut,11.0,11.0
00272017FTEs,2017,0027,Berkley,FTEs,943.9,943.9
00282017FTEIn,2017,0028,Berlin,FTEIn,191.7,191.7
00282017FTEOut,2017,0028,Berlin,FTEOut,10.3,10.3
00282017FTEs,2017,0028,Berlin,FTEs,202.0,202.0
00302017FTEIn,2017,0030,Beverly,FTEIn,"4,552.6","4,552.6"
00302017FTEOut,2017,0030,Beverly,FTEOut,185.5,185.5
00302017FTEs,2017,0030,Beverly,FTEs,"4,738.1","4,738.1"
00312017FTEIn,2017,0031,Billerica,FTEIn,"4,874.6","4,874.6"
00312017FTEOut,2017,0031,Billerica,FTEOut,280.8,280.8
00312017FTEs,2017,0031,Billerica,FTEs,"5,155.4","5,155.4"
00352017FTEIn,2017,0035,Boston,FTEIn,"54,447.7","54,447.7"
00352017FTEOut,2017,0035,Boston,FTEOut,"13,138.6","13,138.6"
00352017FTEs,2017,0035,Boston,FTEs,"67,586.3","67,586.3"
00362017FTEIn,2017,0036,Bourne,FTEIn,"1,944.8","1,944.8"
00362017FTEOut,2017,0036,Bourne,FTEOut,276.0,276.0
00362017FTEs,2017,0036,Bourne,FTEs,"2,220.8","2,220.8"
00382017FTEIn,2017,0038,Boxford,FTEIn,762.4,762.4
00382017FTEOut,2017,0038,Boxford,FTEOut,6.6,6.6
00382017FTEs,2017,0038,Boxford,FTEs,769.0,769.0
00392017FTEIn,2017,0039,Boylston,FTEIn,298.4,298.4
00392017FTEOut,2017,0039,Boylston,FTEOut,30.7,30.7
00392017FTEs,2017,0039,Boylston,FTEs,329.1,329.1
00402017FTEIn,2017,0040,Braintree,FTEIn,"5,838.5","5,838.5"
00402017FTEOut,2017,0040,Braintree,FTEOut,109.8,109.8
00402017FTEs,2017,0040,Braintree,FTEs,"5,948.3","5,948.3"
00412017FTEIn,2017,0041,Brewster,FTEIn,490.5,490.5
00412017FTEOut,2017,0041,Brewster,FTEOut,30.2,30.2
00412017FTEs,2017,0041,Brewster,FTEs,520.7,520.7
00432017FTEIn,2017,0043,Brimfield,FTEIn,290.6,290.6
00432017FTEOut,2017,0043,Brimfield,FTEOut,10.0,10.0
00432017FTEs,2017,0043,Brimfield,FTEs,300.6,300.6
00442017FTEIn,2017,0044,Brockton,FTEIn,"16,895.2","16,895.2"
00442017FTEOut,2017,0044,Brockton,FTEOut,"1,099.1","1,099.1"
00442017FTEs,2017,0044,Brockton,FTEs,"17,994.3","17,994.3"
00452017FTEIn,2017,0045,Brookfield,FTEIn,328.0,328.0
00452017FTEOut,2017,0045,Brookfield,FTEOut,less than 6,less than 6
00452017FTEs,2017,0045,Brookfield,FTEs,332.8,332.8
00462017FTEIn,2017,0046,Brookline,FTEIn,"7,711.6","7,711.6"
00462017FTEOut,2017,0046,Brookline,FTEOut,71.2,71.2
00462017FTEs,2017,0046,Brookline,FTEs,"7,782.8","7,782.8"
00482017FTEIn,2017,0048,Burlington,FTEIn,"3,511.7","3,511.7"
00482017FTEOut,2017,0048,Burlington,FTEOut,109.3,109.3
00482017FTEs,2017,0048,Burlington,FTEs,"3,621.0","3,621.0"
00492017FTEIn,2017,0049,Cambridge,FTEIn,"6,800.7","6,800.7"
00492017FTEOut,2017,0049,Cambridge,FTEOut,626.7,626.7
00492017FTEs,2017,0049,Cambridge,FTEs,"7,427.4","7,427.4"
00502017FTEIn,2017,0050,Canton,FTEIn,"3,323.1","3,323.1"
00502017FTEOut,2017,0050,Canton,FTEOut,68.2,68.2
00502017FTEs,2017,0050,Canton,FTEs,"3,391.3","3,391.3"
00512017FTEIn,2017,0051,Carlisle,FTEIn,587.9,587.9
00512017FTEOut,2017,0051,Carlisle,FTEOut,10.0,10.0
00512017FTEs,2017,0051,Carlisle,FTEs,597.9,597.9
00522017FTEIn,2017,0052,Carver,FTEIn,"1,611.4","1,611.4"
00522017FTEOut,2017,0052,Carver,FTEOut,69.0,69.0
00522017FTEs,2017,0052,Carver,FTEs,"1,680.4","1,680.4"
00562017FTEIn,2017,0056,Chelmsford,FTEIn,"4,978.3","4,978.3"
00562017FTEOut,2017,0056,Chelmsford,FTEOut,261.9,261.9
00562017FTEs,2017,0056,Chelmsford,FTEs,"5,240.2","5,240.2"
00572017FTEIn,2017,0057,Chelsea,FTEIn,"6,301.5","6,301.5"
00572017FTEOut,2017,0057,Chelsea,FTEOut,978.8,978.8
00572017FTEs,2017,0057,Chelsea,FTEs,"7,280.3","7,280.3"
00612017FTEIn,2017,0061,Chicopee,FTEIn,"7,673.3","7,673.3"
00612017FTEOut,2017,0061,Chicopee,FTEOut,439.0,439.0
00612017FTEs,2017,0061,Chicopee,FTEs,"8,112.3","8,112.3"
00632017FTEIn,2017,0063,Clarksburg,FTEIn,177.0,177.0
00632017FTEOut,2017,0063,Clarksburg,FTEOut,51.3,51.3
00632017FTEs,2017,0063,Clarksburg,FTEs,228.3,228.3
00642017FTEIn,2017,0064,Clinton,FTEIn,"1,875.2","1,875.2"
00642017FTEOut,2017,0064,Clinton,FTEOut,318.1,318.1
00642017FTEs,2017,0064,Clinton,FTEs,"2,193.3","2,193.3"
00652017FTEIn,2017,0065,Cohasset,FTEIn,"1,588.6","1,588.6"
00652017FTEOut,2017,0065,Cohasset,FTEOut,20.5,20.5
00652017FTEs,2017,0065,Cohasset,FTEs,"1,609.1","1,609.1"
00672017FTEIn,2017,0067,Concord,FTEIn,"2,115.7","2,115.7"
00672017FTEOut,2017,0067,Concord,FTEOut,42.0,42.0
00672017FTEs,2017,0067,Concord,FTEs,"2,157.7","2,157.7"
00682017FTEIn,2017,0068,Conway,FTEIn,142.9,142.9
00682017FTEOut,2017,0068,Conway,FTEOut,19.8,19.8
00682017FTEs,2017,0068,Conway,FTEs,162.7,162.7
00712017FTEIn,2017,0071,Danvers,FTEIn,"3,522.5","3,522.5"
00712017FTEOut,2017,0071,Danvers,FTEOut,110.3,110.3
00712017FTEs,2017,0071,Danvers,FTEs,"3,632.8","3,632.8"
00722017FTEIn,2017,0072,Dartmouth,FTEIn,"3,652.0","3,652.0"
00722017FTEOut,2017,0072,Dartmouth,FTEOut,70.4,70.4
00722017FTEs,2017,0072,Dartmouth,FTEs,"3,722.4","3,722.4"
00732017FTEIn,2017,0073,Dedham,FTEIn,"2,672.2","2,672.2"
00732017FTEOut,2017,0073,Dedham,FTEOut,92.0,92.0
00732017FTEs,2017,0073,Dedham,FTEs,"2,764.2","2,764.2"
00742017FTEIn,2017,0074,Deerfield,FTEIn,408.2,408.2
00742017FTEOut,2017,0074,Deerfield,FTEOut,35.7,35.7
00742017FTEs,2017,0074,Deerfield,FTEs,443.9,443.9
00772017FTEIn,2017,0077,Douglas,FTEIn,"1,352.1","1,352.1"
00772017FTEOut,2017,0077,Douglas,FTEOut,89.0,89.0
00772017FTEs,2017,0077,Douglas,FTEs,"1,441.1","1,441.1"
00782017FTEIn,2017,0078,Dover,FTEIn,488.6,488.6
00782017FTEOut,2017,0078,Dover,FTEOut,10.2,10.2
00782017FTEs,2017,0078,Dover,FTEs,498.8,498.8
00792017FTEIn,2017,0079,Dracut,FTEIn,"3,544.1","3,544.1"
00792017FTEOut,2017,0079,Dracut,FTEOut,349.2,349.2
00792017FTEs,2017,0079,Dracut,FTEs,"3,893.3","3,893.3"
00822017FTEIn,2017,0082,Duxbury,FTEIn,"3,108.2","3,108.2"
00822017FTEOut,2017,0082,Duxbury,FTEOut,45.2,45.2
00822017FTEs,2017,0082,Duxbury,FTEs,"3,153.4","3,153.4"
00832017FTEIn,2017,0083,East Bridgewater,FTEIn,"2,317.0","2,317.0"
00832017FTEOut,2017,0083,East Bridgewater,FTEOut,70.0,70.0
00832017FTEs,2017,0083,East Bridgewater,FTEs,"2,387.0","2,387.0"
00852017FTEIn,2017,0085,Eastham,FTEIn,181.6,181.6
00852017FTEOut,2017,0085,Eastham,FTEOut,19.1,19.1
00852017FTEs,2017,0085,Eastham,FTEs,200.7,200.7
00862017FTEIn,2017,0086,Easthampton,FTEIn,"1,553.6","1,553.6"
00862017FTEOut,2017,0086,Easthampton,FTEOut,336.0,336.0
00862017FTEs,2017,0086,Easthampton,FTEs,"1,889.6","1,889.6"
00872017FTEIn,2017,0087,East Longmeadow,FTEIn,"2,633.4","2,633.4"
00872017FTEOut,2017,0087,East Longmeadow,FTEOut,83.5,83.5
00872017FTEs,2017,0087,East Longmeadow,FTEs,"2,716.9","2,716.9"
00882017FTEIn,2017,0088,Easton,FTEIn,"3,737.7","3,737.7"
00882017FTEOut,2017,0088,Easton,FTEOut,70.8,70.8
00882017FTEs,2017,0088,Easton,FTEs,"3,808.5","3,808.5"
00892017FTEIn,2017,0089,Edgartown,FTEIn,357.8,357.8
00892017FTEOut,2017,0089,Edgartown,FTEOut,77.2,77.2
00892017FTEs,2017,0089,Edgartown,FTEs,435.0,435.0
00912017FTEIn,2017,0091,Erving,FTEIn,138.9,138.9
00912017FTEOut,2017,0091,Erving,FTEOut,105.1,105.1
00912017FTEs,2017,0091,Erving,FTEs,244.0,244.0
00932017FTEIn,2017,0093,Everett,FTEIn,"7,152.0","7,152.0"
00932017FTEOut,2017,0093,Everett,FTEOut,839.3,839.3
00932017FTEs,2017,0093,Everett,FTEs,"7,991.3","7,991.3"
00942017FTEIn,2017,0094,Fairhaven,FTEIn,"2,036.3","2,036.3"
00942017FTEOut,2017,0094,Fairhaven,FTEOut,45.1,45.1
00942017FTEs,2017,0094,Fairhaven,FTEs,"2,081.4","2,081.4"
00952017FTEIn,2017,0095,Fall River,FTEIn,"10,204.8","10,204.8"
00952017FTEOut,2017,0095,Fall River,FTEOut,"1,678.8","1,678.8"
00952017FTEs,2017,0095,Fall River,FTEs,"11,883.6","11,883.6"
00962017FTEIn,2017,0096,Falmouth,FTEIn,"3,458.9","3,458.9"
00962017FTEOut,2017,0096,Falmouth,FTEOut,162.1,162.1
00962017FTEs,2017,0096,Falmouth,FTEs,"3,621.0","3,621.0"
00972017FTEIn,2017,0097,Fitchburg,FTEIn,"5,221.7","5,221.7"
00972017FTEOut,2017,0097,Fitchburg,FTEOut,767.4,767.4
00972017FTEs,2017,0097,Fitchburg,FTEs,"5,989.1","5,989.1"
00982017FTEIn,2017,0098,Florida,FTEIn,81.9,81.9
00982017FTEOut,2017,0098,Florida,FTEOut,22.1,22.1
00982017FTEs,2017,0098,Florida,FTEs,104.0,104.0
00992017FTEIn,2017,0099,Foxborough,FTEIn,"2,618.2","2,618.2"
00992017FTEOut,2017,0099,Foxborough,FTEOut,138.2,138.2
00992017FTEs,2017,0099,Foxborough,FTEs,"2,756.4","2,756.4"
01002017FTEIn,2017,0100,Framingham,FTEIn,"8,667.3","8,667.3"
01002017FTEOut,2017,0100,Framingham,FTEOut,711.1,711.1
01002017FTEs,2017,0100,Framingham,FTEs,"9,378.4","9,378.4"
01012017FTEIn,2017,0101,Franklin,FTEIn,"5,407.1","5,407.1"
01012017FTEOut,2017,0101,Franklin,FTEOut,479.2,479.2
01012017FTEs,2017,0101,Franklin,FTEs,"5,886.3","5,886.3"
01032017FTEIn,2017,0103,Gardner,FTEIn,"2,375.3","2,375.3"
01032017FTEOut,2017,0103,Gardner,FTEOut,328.5,328.5
01032017FTEs,2017,0103,Gardner,FTEs,"2,703.8","2,703.8"
01052017FTEIn,2017,0105,Georgetown,FTEIn,"1,445.6","1,445.6"
01052017FTEOut,2017,0105,Georgetown,FTEOut,49.0,49.0
01052017FTEs,2017,0105,Georgetown,FTEs,"1,494.6","1,494.6"
01072017FTEIn,2017,0107,Gloucester,FTEIn,"2,956.5","2,956.5"
01072017FTEOut,2017,0107,Gloucester,FTEOut,364.6,364.6
01072017FTEs,2017,0107,Gloucester,FTEs,"3,321.1","3,321.1"
01102017FTEIn,2017,0110,Grafton,FTEIn,"3,181.2","3,181.2"
01102017FTEOut,2017,0110,Grafton,FTEOut,125.6,125.6
01102017FTEs,2017,0110,Grafton,FTEs,"3,306.8","3,306.8"
01112017FTEIn,2017,0111,Granby,FTEIn,754.5,754.5
01112017FTEOut,2017,0111,Granby,FTEOut,93.6,93.6
01112017FTEs,2017,0111,Granby,FTEs,848.1,848.1
01142017FTEIn,2017,0114,Greenfield,FTEIn,"1,684.7","1,684.7"
01142017FTEOut,2017,0114,Greenfield,FTEOut,455.8,455.8
01142017FTEs,2017,0114,Greenfield,FTEs,"2,140.5","2,140.5"
01172017FTEIn,2017,0117,Hadley,FTEIn,567.0,567.0
01172017FTEOut,2017,0117,Hadley,FTEOut,125.8,125.8
01172017FTEs,2017,0117,Hadley,FTEs,692.8,692.8
01182017FTEIn,2017,0118,Halifax,FTEIn,593.7,593.7
01182017FTEOut,2017,0118,Halifax,FTEOut,40.5,40.5
01182017FTEs,2017,0118,Halifax,FTEs,634.2,634.2
01212017FTEIn,2017,0121,Hancock,FTEIn,37.6,37.6
01212017FTEOut,2017,0121,Hancock,FTEOut,38.0,38.0
01212017FTEs,2017,0121,Hancock,FTEs,75.6,75.6
01222017FTEIn,2017,0122,Hanover,FTEIn,"2,622.7","2,622.7"
01222017FTEOut,2017,0122,Hanover,FTEOut,59.6,59.6
01222017FTEs,2017,0122,Hanover,FTEs,"2,682.3","2,682.3"
01252017FTEIn,2017,0125,Harvard,FTEIn,"1,126.5","1,126.5"
01252017FTEOut,2017,0125,Harvard,FTEOut,43.6,43.6
01252017FTEs,2017,0125,Harvard,FTEs,"1,170.1","1,170.1"
01272017FTEIn,2017,0127,Hatfield,FTEIn,444.2,444.2
01272017FTEOut,2017,0127,Hatfield,FTEOut,59.1,59.1
01272017FTEs,2017,0127,Hatfield,FTEs,503.3,503.3
01282017FTEIn,2017,0128,Haverhill,FTEIn,"7,429.4","7,429.4"
01282017FTEOut,2017,0128,Haverhill,FTEOut,"1,212.4","1,212.4"
01282017FTEs,2017,0128,Haverhill,FTEs,"8,641.8","8,641.8"
01312017FTEIn,2017,0131,Hingham,FTEIn,"4,278.5","4,278.5"
01312017FTEOut,2017,0131,Hingham,FTEOut,76.1,76.1
01312017FTEs,2017,0131,Hingham,FTEs,"4,354.6","4,354.6"
01332017FTEIn,2017,0133,Holbrook,FTEIn,"1,165.9","1,165.9"
01332017FTEOut,2017,0133,Holbrook,FTEOut,82.6,82.6
01332017FTEs,2017,0133,Holbrook,FTEs,"1,248.5","1,248.5"
01352017FTEIn,2017,0135,Holland,FTEIn,236.1,236.1
01352017FTEOut,2017,0135,Holland,FTEOut,0.0,0.0
01352017FTEs,2017,0135,Holland,FTEs,236.1,236.1
01362017FTEIn,2017,0136,Holliston,FTEIn,"2,889.3","2,889.3"
01362017FTEOut,2017,0136,Holliston,FTEOut,74.9,74.9
01362017FTEs,2017,0136,Holliston,FTEs,"2,964.2","2,964.2"
01372017FTEIn,2017,0137,Holyoke,FTEIn,"5,360.5","5,360.5"
01372017FTEOut,2017,0137,Holyoke,FTEOut,"1,318.3","1,318.3"
01372017FTEs,2017,0137,Holyoke,FTEs,"6,678.8","6,678.8"
01382017FTEIn,2017,0138,Hopedale,FTEIn,"1,155.3","1,155.3"
01382017FTEOut,2017,0138,Hopedale,FTEOut,74.1,74.1
01382017FTEs,2017,0138,Hopedale,FTEs,"1,229.4","1,229.4"
01392017FTEIn,2017,0139,Hopkinton,FTEIn,"3,483.8","3,483.8"
01392017FTEOut,2017,0139,Hopkinton,FTEOut,65.9,65.9
01392017FTEs,2017,0139,Hopkinton,FTEs,"3,549.7","3,549.7"
01412017FTEIn,2017,0141,Hudson,FTEIn,"2,668.0","2,668.0"
01412017FTEOut,2017,0141,Hudson,FTEOut,194.2,194.2
01412017FTEs,2017,0141,Hudson,FTEs,"2,862.2","2,862.2"
01422017FTEIn,2017,0142,Hull,FTEIn,927.7,927.7
01422017FTEOut,2017,0142,Hull,FTEOut,77.0,77.0
01422017FTEs,2017,0142,Hull,FTEs,"1,004.7","1,004.7"
01442017FTEIn,2017,0144,Ipswich,FTEIn,"1,757.3","1,757.3"
01442017FTEOut,2017,0144,Ipswich,FTEOut,58.1,58.1
01442017FTEs,2017,0144,Ipswich,FTEs,"1,815.4","1,815.4"
01452017FTEIn,2017,0145,Kingston,FTEIn,"1,031.8","1,031.8"
01452017FTEOut,2017,0145,Kingston,FTEOut,51.1,51.1
01452017FTEs,2017,0145,Kingston,FTEs,"1,082.9","1,082.9"
01482017FTEIn,2017,0148,Lanesborough,FTEIn,205.3,205.3
01482017FTEOut,2017,0148,Lanesborough,FTEOut,25.2,25.2
01482017FTEs,2017,0148,Lanesborough,FTEs,230.5,230.5
01492017FTEIn,2017,0149,Lawrence,FTEIn,"13,969.0","13,969.0"
01492017FTEOut,2017,0149,Lawrence,FTEOut,"1,813.6","1,813.6"
01492017FTEs,2017,0149,Lawrence,FTEs,"15,782.6","15,782.6"
01502017FTEIn,2017,0150,Lee,FTEIn,683.3,683.3
01502017FTEOut,2017,0150,Lee,FTEOut,112.2,112.2
01502017FTEs,2017,0150,Lee,FTEs,795.5,795.5
01512017FTEIn,2017,0151,Leicester,FTEIn,"1,550.1","1,550.1"
01512017FTEOut,2017,0151,Leicester,FTEOut,163.9,163.9
01512017FTEs,2017,0151,Leicester,FTEs,"1,714.0","1,714.0"
01522017FTEIn,2017,0152,Lenox,FTEIn,766.8,766.8
01522017FTEOut,2017,0152,Lenox,FTEOut,45.1,45.1
01522017FTEs,2017,0152,Lenox,FTEs,811.9,811.9
01532017FTEIn,2017,0153,Leominster,FTEIn,"6,018.5","6,018.5"
01532017FTEOut,2017,0153,Leominster,FTEOut,467.1,467.1
01532017FTEs,2017,0153,Leominster,FTEs,"6,485.6","6,485.6"
01542017FTEIn,2017,0154,Leverett,FTEIn,133.5,133.5
01542017FTEOut,2017,0154,Leverett,FTEOut,14.0,14.0
01542017FTEs,2017,0154,Leverett,FTEs,147.5,147.5
01552017FTEIn,2017,0155,Lexington,FTEIn,"7,099.9","7,099.9"
01552017FTEOut,2017,0155,Lexington,FTEOut,107.8,107.8
01552017FTEs,2017,0155,Lexington,FTEs,"7,207.7","7,207.7"
01572017FTEIn,2017,0157,Lincoln,FTEIn,"1,211.7","1,211.7"
01572017FTEOut,2017,0157,Lincoln,FTEOut,24.0,24.0
01572017FTEs,2017,0157,Lincoln,FTEs,"1,235.7","1,235.7"
01582017FTEIn,2017,0158,Littleton,FTEIn,"1,636.3","1,636.3"
01582017FTEOut,2017,0158,Littleton,FTEOut,139.6,139.6
01582017FTEs,2017,0158,Littleton,FTEs,"1,775.9","1,775.9"
01592017FTEIn,2017,0159,Longmeadow,FTEIn,"2,833.8","2,833.8"
01592017FTEOut,2017,0159,Longmeadow,FTEOut,59.0,59.0
01592017FTEs,2017,0159,Longmeadow,FTEs,"2,892.8","2,892.8"
01602017FTEIn,2017,0160,Lowell,FTEIn,"14,427.7","14,427.7"
01602017FTEOut,2017,0160,Lowell,FTEOut,"1,967.4","1,967.4"
01602017FTEs,2017,0160,Lowell,FTEs,"16,395.1","16,395.1"
01612017FTEIn,2017,0161,Ludlow,FTEIn,"2,637.0","2,637.0"
01612017FTEOut,2017,0161,Ludlow,FTEOut,94.1,94.1
01612017FTEs,2017,0161,Ludlow,FTEs,"2,731.1","2,731.1"
01622017FTEIn,2017,0162,Lunenburg,FTEIn,"1,619.3","1,619.3"
01622017FTEOut,2017,0162,Lunenburg,FTEOut,161.8,161.8
01622017FTEs,2017,0162,Lunenburg,FTEs,"1,781.1","1,781.1"
01632017FTEIn,2017,0163,Lynn,FTEIn,"15,377.3","15,377.3"
01632017FTEOut,2017,0163,Lynn,FTEOut,"1,735.2","1,735.2"
